Substance,Source,Specific_Measure,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2020 Q3,,,Number,80
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2020 Q4,,,Number,76
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2021 Q1,,,Number,65
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2021 Q2,,,Number,56
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2021 Q3,,,Number,93
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2021 Q4,,,Number,113
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2022 Q1,,,Number,77
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2022 Q2,,,Number,82
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2022 Q3,,,Number,63
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2022 Q4,,,Number,75
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2023 Q1,,,Number,96
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2023 Q2,,,Number,83
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2023 Q3,,,Number,81
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2023 Q4,,,Number,88
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2024 Q1,,,Number,91
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2024 Q2,,,Number,56
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2024 Q3,,,Number,72
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2024 Q4,,,Number,52
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2025 Q1,,,Number,60
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2025 Q2,,,Number,65
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2025 Q3,,,Number,36
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2025 Q4,,,Number,60
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2016,,,Crude rate,6.7
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2017,,,Crude rate,7.9
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2018,,,Crude rate,6.9
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2019,,,Crude rate,4.5
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2020,,,Crude rate,16.9
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2021,,,Crude rate,20.7
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2022,,,Crude rate,20.7
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2023,,,Crude rate,26.3
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2024,,,Crude rate,25.0
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2025,,,Crude rate,15.3
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2016,,,Number,88
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2017,,,Number,106
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2018,,,Number,93
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2019,,,Number,62
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2020,,,Number,233
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2021,,,Number,288
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2022,,,Number,292
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2023,,,Number,382
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2024,,,Number,373
Opioids,Deaths,Overall numbers,Manitoba,46,By year,2025,,,Number,231
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2016 Q1,,,Number,18
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2016 Q2,,,Number,20
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2016 Q3,,,Number,17
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2016 Q4,,,Number,33
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2017 Q1,,,Number,34
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2017 Q2,,,Number,34
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2017 Q3,,,Number,19
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2017 Q4,,,Number,19
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2018 Q1,,,Number,21
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2018 Q2,,,Number,17
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2018 Q3,,,Number,24
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2018 Q4,,,Number,31
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2019 Q1,,,Number,10
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2019 Q2,,,Number,16
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2019 Q3,,,Number,11
